bin1	bin2	loop_id	celltype
chr12-35210000-35220000	chr12-35520000-35530000	mouse_union_92915	L5_ET
chr12-35210000-35220000	chr12-35890000-35900000	mouse_union_92916	MGC
chr12-35220000-35230000	chr12-35480000-35490000	mouse_union_92917	MGC
chr12-35220000-35230000	chr12-35510000-35520000	mouse_union_92918	MGC
chr12-35220000-35230000	chr12-35520000-35530000	mouse_union_92919	ASC
chr12-35220000-35230000	chr12-35890000-35900000	mouse_union_92920	L2_3_IT
chr12-35230000-35240000	chr12-35300000-35310000	mouse_union_92921	PVALB
chr12-35230000-35240000	chr12-35420000-35430000	mouse_union_92922	L5_IT
chr12-35230000-35240000	chr12-35500000-35510000	mouse_union_92923	L2_3_IT
chr12-35230000-35240000	chr12-35610000-35620000	mouse_union_92924	L5_IT
chr12-35230000-35240000	chr12-35670000-35680000	mouse_union_92925	L2_3_IT, PVALB, SST
chr12-35230000-35240000	chr12-35700000-35710000	mouse_union_92926	ASC, L4_5_IT
chr12-35230000-35240000	chr12-35890000-35900000	mouse_union_92927	SST
chr12-35240000-35250000	chr12-35390000-35400000	mouse_union_92928	L5_IT
chr12-35240000-35250000	chr12-35480000-35490000	mouse_union_92929	L6_CT
chr12-35240000-35250000	chr12-35490000-35500000	mouse_union_92930	L6_IT
chr12-35240000-35250000	chr12-35510000-35520000	mouse_union_92931	L4_5_IT, L5_IT
chr12-35240000-35250000	chr12-35520000-35530000	mouse_union_92932	L6_CT
chr12-35240000-35250000	chr12-35530000-35540000	mouse_union_92933	PVALB, SST
chr12-35240000-35250000	chr12-35670000-35680000	mouse_union_92934	L6_CT
chr12-35240000-35250000	chr12-35680000-35690000	mouse_union_92935	L6_IT
chr12-35240000-35250000	chr12-35890000-35900000	mouse_union_92936	ASC, L6_IT
chr12-35240000-35250000	chr12-36000000-36010000	mouse_union_92937	L5_IT
chr12-35280000-35290000	chr12-35520000-35530000	mouse_union_92938	VIP
chr12-35290000-35300000	chr12-35640000-35650000	mouse_union_92939	L5_IT
chr12-35290000-35300000	chr12-35660000-35670000	mouse_union_92940	MGC
chr12-35290000-35300000	chr12-35990000-36000000	mouse_union_92941	ASC
chr12-35290000-35300000	chr12-36000000-36010000	mouse_union_92942	L5_ET
chr12-35300000-35310000	chr12-35370000-35380000	mouse_union_92943	SST
chr12-35300000-35310000	chr12-35410000-35420000	mouse_union_92944	L5_IT
chr12-35300000-35310000	chr12-35470000-35480000	mouse_union_92945	MGC
chr12-35300000-35310000	chr12-35500000-35510000	mouse_union_92946	L6_IT
chr12-35300000-35310000	chr12-35510000-35520000	mouse_union_92947	L5_IT, MGC, SST
chr12-35300000-35310000	chr12-35520000-35530000	mouse_union_92948	ASC
chr12-35300000-35310000	chr12-35540000-35550000	mouse_union_92949	SST
chr12-35300000-35310000	chr12-35650000-35660000	mouse_union_92950	SST
chr12-35300000-35310000	chr12-35670000-35680000	mouse_union_92951	L2_3_IT, PVALB
chr12-35300000-35310000	chr12-35680000-35690000	mouse_union_92952	VIP
chr12-35300000-35310000	chr12-35690000-35700000	mouse_union_92953	ASC
chr12-35300000-35310000	chr12-35700000-35710000	mouse_union_92954	L5_IT
chr12-35300000-35310000	chr12-35890000-35900000	mouse_union_92955	ASC, Endo, L2_3_IT, MGC
chr12-35300000-35310000	chr12-35950000-35960000	mouse_union_92956	L6_IT
chr12-35300000-35310000	chr12-35980000-35990000	mouse_union_92957	L6_IT, SST
chr12-35300000-35310000	chr12-35990000-36000000	mouse_union_92958	L4_5_IT
chr12-35300000-35310000	chr12-36010000-36020000	mouse_union_92959	L6_IT
chr12-35310000-35320000	chr12-35390000-35400000	mouse_union_92960	ASC, L6_CT, PVALB
chr12-35310000-35320000	chr12-35400000-35410000	mouse_union_92961	L6_IT, MGC
chr12-35310000-35320000	chr12-35410000-35420000	mouse_union_92962	L4_5_IT, L5_ET
chr12-35310000-35320000	chr12-35480000-35490000	mouse_union_92963	L6_CT
chr12-35310000-35320000	chr12-35490000-35500000	mouse_union_92964	L5_ET
chr12-35310000-35320000	chr12-35500000-35510000	mouse_union_92965	L2_3_IT, L4_5_IT
chr12-35310000-35320000	chr12-35530000-35540000	mouse_union_92966	PVALB
chr12-35310000-35320000	chr12-35660000-35670000	mouse_union_92967	L5_ET
chr12-35310000-35320000	chr12-35670000-35680000	mouse_union_92968	SNCG
chr12-35310000-35320000	chr12-35680000-35690000	mouse_union_92969	L6_CT, L6_IT
chr12-35310000-35320000	chr12-35970000-35980000	mouse_union_92970	L2_3_IT
chr12-35310000-35320000	chr12-35990000-36000000	mouse_union_92971	MGC
chr12-35310000-35320000	chr12-36000000-36010000	mouse_union_92972	L5_IT
